입찰공고명,공고기관명,기초금액,개찰일자,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소
2024년 전기설비 직무고시 정기점검 용역,국군수도병원,14987963,2024-01-31,13390000,88.838,2024-01-31,한국전기테스트(주),김성군,김수한,서울특별시 강남구 논현로829 (신사동)
2024년 방위사업청 영상 콘텐츠 제작 및 홍보,방위사업청(운영지원과),0,2024-01-31,451000000,90.2,2024-04-21,(주)믹스미디어,정연승,설정미,"서울특별시 강남구 논현로168길32, 3층 (신사동, 유니드 빌딩)"
24-M-조경관리 용역,국군재정관리단,1372540000,2024-01-31,1215315115,88.379,2024-01-31,(주)에이치엠조경,하예봉,문경화,"경기도 용인시 기흥구 신구로55-0 (신갈동, 정훈빌딩) 212호"
(24G009-A)24년 00사령부 방제용역,국군재정관리단,228247800,2024-01-31,195163280,85.75,2024-01-31,(주)세스코,전찬혁,김선영,서울특별시 강동구 상일로10길46-0 (상일동)
24-N-선저폐수 처리용역,국군재정관리단,309000000,2024-01-31,248980000,80.534,2024-01-31,수일종합환경 주식회사,서영완,서영완,부산광역시 동구 중앙대로180번길 12-10()
(24G001-H)24~25년 음향장비 유지보수 용역,국군재정관리단,423862170,2024-01-31,365771860,85.535,2024-01-31,신아시스템 주식회사,신장화,신장화,"경상남도 창원시 의창구 읍성로 110,  신아빌101호(소답동)"
24-F-전산장비 유지보수 용역,국군재정관리단,100630000,2024-01-31,98724889,96.731,2024-01-31,한국신재생에너지부울경협동조합,반영현,황인규,부산광역시 동구 조방로49번길29 (범일동)
24년~'26년 육로화물 수송 용역,공군군수사령부,533981422,2024-02-01,444261894,83.342,2024-02-01,주식회사 동방,박창기,김승훈,서울특별시 중구 통일로2길16-0 (순화동) 3층
IPTV방송 및 인터넷(Wi-Fi) 서비스 용역,해군작전사령부,266000000,2024-02-02,227909242,85.879,2024-02-02,주식회사 케이티스카이라이프,최영범,신홍일,서울특별시 마포구 매봉산로75(상암동)
24년 음식물쓰레기 처리용역,제3190부대,136422000,2024-02-02,114560000,84.441,2024-02-05,오션환경,김진태,김진태,경기도 광명시 범안로1035-0 (하안동)
